"AA","AXP","BA","BAC","CAT","CSCO","CVX","DD","DIS","GE","HD","HPQ","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","PFE","PG","T","TRV","UNH","UTX","VZ","WMT","XOM"
18.69,26.71,26.55,25.59,18.05,12.61,23.84,29.25,14.3,17.42,19.13,15.29,67.28,12.46,40.86,17.82,16.71,12.39,48.28,35.43,19.61,20.72,33.21,15.82,26.22,19.97,25.29,22.53,42.4,27.9
19.32,27.7,27.26,26,18.85,13.13,24.32,29.97,15.13,18.23,19.82,16.02,69.94,13.36,42.09,19.16,17.09,12.75,49.63,36.46,20.37,21.37,33.94,16.87,27.02,20.5,25.89,23.36,43.32,28.32
19.53,27.8,27.51,25.84,18.72,13.39,24.5,30.12,15.22,18.17,17.03,16.35,70.88,13.24,43.21,19.53,17.05,12.42,49.44,36.92,20.4,21.54,33.57,16.86,27.01,20.71,26.3,23.52,41.97,28.35
20,28.78,27.46,26.21,19.11,13.67,25.06,30.85,16,18.63,17.38,17.3,72.56,13.75,43.62,21.07,17.12,12.83,49.8,37.48,20.77,21.69,33.95,18.2,28.23,20.19,26.54,25.62,42.13,29.05
20,28.39,26.8,26.25,18.89,14.06,24.54,30.76,15.82,18.53,17.09,17.57,74.65,13.89,42.64,20.97,16.91,12.84,49.75,36.99,21.16,21.44,33.43,17.67,27.72,20.04,25.98,25.36,42.36,28.07
17.93,28.18,26.96,26.14,18.32,13.9,24.4,30.07,15.5,18.24,16.86,17.17,73.08,13.35,42.39,20.16,16.8,12.98,49.22,36.91,20.57,20.95,32.93,16.95,26.88,20.21,25.82,24,41.97,27.95
18.46,28.78,27.28,26.49,18.69,14.4,24.78,30.56,15.85,18.53,17.1,18.03,75.52,13.65,43.24,20.56,16.97,13,49.99,37.41,21.17,21.11,33.15,17.12,27.54,20.21,26.51,23.74,43.59,28.54
18.71,28.84,27.24,26.41,18.72,14.66,24.6,30.38,15.91,18.35,17.19,18.36,76.11,13.94,43.51,20.4,17.23,13.28,49.58,37.43,21.21,20.88,33.29,16.96,27.35,19.96,26.26,23.55,43.33,28.14
18.76,29.12,27.6,26.62,18.83,14.71,24.45,30.17,16.04,18.34,17.49,17.93,75.97,13.91,42.63,20.54,17.44,13.35,49.54,37.43,21.39,20.95,33.31,16.94,27.51,19.77,26.19,23.85,43.05,28.03
19,29.03,27.48,26.66,18.71,15,24.56,30.36,16.19,18.39,17.56,18.14,76.89,14.24,42.87,20.78,17.43,13.07,50.11,37.43,21.61,21.03,33.38,17.44,27.96,19.67,26.26,24.16,43.16,28.28
